# findings
F0	"None identified in the independent review"
F1	"See findings register; latest review remediation 34dcca6 (fix(release): repository-disable Store workflows (#232))"
F2	"See findings register; latest review remediation 033a563 (fix(review): enforce inventory freshness)"
F3	"Reviewed non-publishing Mobile Release Kit shadow configuration; Store identities remain blocked"
F4	"See findings register; latest review remediation 31c18a5 (fix(protocol): resume peer command sequences from snapshots)"
F5	"See findings register; latest review remediation a6cef34 (docs(architecture): inventory networking test module)"
F6	"See findings register; latest review remediation 96df456 (build: enforce static analysis and version consistency)"
F7	"See findings register; latest review remediation 5a3ad80 (fix(build): enforce type-aware KMP analysis)"
F8	"See findings register; latest review remediation 0b85da8 (docs(build): clarify Apple static analysis boundary)"
F9	"See findings register; latest review remediation dc92ee5 (test(android): run release smoke tests on managed device)"
F10	"See findings register; latest review remediation 14cd91c (fix(android): install compose content before settings I/O (#47))"
F11	"See findings register; latest review remediation db0c8c3 (feat(navigation): migrate app shell to Navigation 3)"
F12	"See findings register; latest review remediation 39dbcad (fix(storage): harden platform persistence boundaries)"
F13	"See findings register; latest review remediation 3ec396c (fix(android): fail closed on snapshot listing errors)"
F14	"See findings register; latest review remediation 4ba3f9b (fix(android): preload settings off main thread)"
F15	"See findings register; latest review remediation 02bf235 (fix(session): discard failed cold-resume credentials)"
F16	"See findings register; latest review remediation c9dbe83 (docs: align contributor guidance with production)"
F17	"See findings register; latest review remediation c6af17e (fix(ui): keep edge-to-edge screens safely scrollable)"
F18	"See findings register; latest review remediation 26ac4b0 (feat(ui): apply table-first visual rework)"
F19	"See findings register; latest review remediation 55cd941 (fix(ui): enforce accessible platform-aware presentation)"
F20	"See findings register; latest review remediation 3479d2c (fix(recovery): bound home snapshot inventory scans (#14))"
F21	"See findings register; latest review remediation 994ff43 (fix(ios): stabilize Compose launch marker)"
F22	"See findings register; latest review remediation 272112b (fix(ui): keep sticky actions from covering content)"
F23	"See findings register; latest review remediation 0736742 (fix: expose only implemented settings behavior)"
F24	"IR-DOC-01 CLOSED: stale active contracts; fix d6133ef"
F25	"See findings register; latest review remediation 1fc158b (fix(storage): align snapshot decryption limits (#44))"
F26	"See findings register; latest review remediation ca3f277 (fix: validate multiplayer routes at ownership boundary)"
F27	"See findings register; latest review remediation 7cf0bea (fix(randomness): seed local games from platform entropy)"
F28	"See findings register; latest review remediation c3cbe3a (fix(shell): derive setup UI from game contracts)"
F29	"See findings register; latest review remediation b49ed5a (fix(whodunit): constrain multiplayer counts to shipped cases (#187))"
F30	"See findings register; latest review remediation f8f3135 (fix(multiplayer): require explicit player names (#167))"
F31	"See findings register; latest review remediation 1ce2ef0 (fix(storage): make unreadable saves recoverable)"
F32	"See findings register; latest review remediation f9382cd (fix(desktop): cancel transport scope on shutdown)"
F33	"See findings register; latest review remediation ad1b815 (fix(desktop): route Escape through shared back policy)"
F34	"See findings register; latest review remediation 0168c8b (fix(whodunit): move lobby UI into game module (#238))"
F35	"See findings register; latest review remediation 97a8763 (test(localization): enforce repository-wide locale parity)"
F36	"See findings register; latest review remediation 4e95bad (fix(shell): add transactional game exit paths)"
F37	"See findings register; latest review remediation 9196e88 (fix(navigation): handle guarded back gestures on iOS)"
F38	"See findings register; latest review remediation 926e9e0 (docs(storage): clarify iOS settings persistence)"
F39	"See findings register; latest review remediation f10e9f1 (test(storage): cover missing iOS snapshot key)"
F40	"See findings register; latest review remediation b909b58 (fix(build): stabilize lint advisory verification)"
F41	"See findings register; latest review remediation bc6043c (ci(release): add immutable Store promotion pipeline)"
F42	"See findings register; latest review remediation acee9e6 (fix(content): reject unsafe authored text)"
F43	"See findings register; latest review remediation 707d829 (docs(dependencies): correct direct family inventory)"
F44	"See findings register; latest review remediation f5de5c6 (test(ios): launch app through simulator UI test)"
F45	"See findings register; latest review remediation 51054f1 (build: align P2pKit rc3 production toolchain)"
F46	"See findings register; latest review remediation 37cbae1 (ci: isolate executable iOS simulator tests)"
F47	"See findings register; latest review remediation 0f53423 (docs(privacy): inventory Mafia resume snapshots)"
F48	"See findings register; latest review remediation fe950f8 (fix(build): verify all supported desktop hosts)"
F49	"See findings register; latest review remediation 5b77f79 (docs(architecture): update game registration contract)"
F50	"Review infrastructure; no product finding"
F51	"See findings register; latest review remediation 0d75fae (build: eliminate deprecated dependency and time APIs)"
F52	"See findings register; latest review remediation 42ec623 (feat(ui): replace text glyphs with vector icons)"
F53	"See findings register; latest review remediation 7137ec8 (fix(mafia): make setup start atomic)"
F54	"See findings register; latest review remediation 849feef (fix: harden game and serialization trust boundaries)"
F55	"See findings register; latest review remediation d80cd8f (test(mafia): replace impossible winner fixture (#245))"
F56	"See findings register; latest review remediation e6588fb (fix(multiplayer): enforce canonical room identities)"
F57	"See findings register; latest review remediation 4eab031 (fix(ui): remove stale presentation contracts)"
F58	"See findings register; latest review remediation e6c32eb (fix(mafia): enforce reducer-reachable snapshots)"
F59	"See findings register; latest review remediation 511b246 (docs(games): clarify dropped-player lifecycle (#244))"
F60	"See findings register; latest review remediation 4fc52b6 (fix(mafia): retain host progression across lifecycle)"
F61	"See findings register; latest review remediation 3cc8249 (fix(multiplayer): complete retained peer rejoin handshake)"
F62	"See findings register; latest review remediation c8e12a1 (fix(ui): preserve actionable network errors)"
F63	"See findings register; latest review remediation e8e1f42 (fix(ui): keep session controls clear of content)"
F64	"See findings register; latest review remediation 388cb27 (fix(session): commit validated terminal frames atomically)"
F65	"See findings register; latest review remediation 9fcbc4a (fix(storage): decouple local session ids from seeds (#234))"
F66	"See findings register; latest review remediation 85541f5 (fix(mafia): expose every supported setup rule)"
F67	"See findings register; latest review remediation 191ec98 (docs(mafia): clarify redaction sentinel coverage)"
F68	"See findings register; latest review remediation 7e94641 (fix(mafia): cancel setup disconnect cleanly)"
F69	"See findings register; latest review remediation 7b39293 (test(mafia): fail closed on missing roles)"
F70	"See findings register; latest review remediation 60a8b5a (fix(mafia): reject unreachable peer histories)"
F71	"See findings register; latest review remediation 9882491 (test(mafia): model all supported role distributions)"
F72	"See findings register; latest review remediation efb4222 (test(mafia): strengthen impossible snapshot rejection)"
F73	"See findings register; latest review remediation 04e37d5 (fix(games): isolate spectator disconnect recovery)"
F74	"See findings register; latest review remediation 2ae51ef (test(whodunit): exercise accessibility semantics)"
F75	"See findings register; latest review remediation 72ab8bf (fix(whodunit): explain empty case filters)"
F76	"See findings register; latest review remediation d12f456 (fix(content): make bundled case catalog authoritative)"
F77	"See findings register; latest review remediation 4db636d (fix(content): reject unverified delivery signatures)"
F78	"See findings register; latest review remediation 2b0185d (fix(whodunit): require discussion before initial vote (#231))"
F79	"See findings register; latest review remediation 0164be7 (fix: consolidate whodunit reveal contract)"
F80	"See findings register; latest review remediation b3f492f (fix(whodunit): canonicalize final-two verdict (#236))"
F81	"See findings register; latest review remediation ff014a0 (fix(whodunit): share clue reachability policy)"
F82	"See findings register; latest review remediation cf589ec (fix(whodunit): bind terminal clues to verdict)"
F83	"See findings register; latest review remediation 3b177d9 (docs(whodunit): clarify snapshot validation boundaries)"
F84	"See findings register; latest review remediation af14d4f (fix(whodunit): localize RTL-sensitive formatting (#73))"
F85	"See findings register; latest review remediation 9a55346 (fix(whodunit): localize lobby player rows)"
F86	"See findings register; latest review remediation 3db3d68 (fix(whodunit): gate reveal continuation on animation)"
F87	"See findings register; latest review remediation 995a68d (test(whodunit): enforce legal rule fixtures (#241))"
F88	"See findings register; latest review remediation 2bd68b8 (fix(whodunit): label case language in picker (#239))"
F89	"See findings register; latest review remediation 70c1d88 (fix(whodunit): clear terminal recovery state)"
F90	"See findings register; latest review remediation 47c275a (fix: guarantee a new killer on whodunit replay)"
F91	"See findings register; latest review remediation eb7f972 (fix(whodunit): keep round actions scrollable (#240))"
F92	"See findings register; latest review remediation 776b462 (fix(lifecycle): reconcile durable host loss state)"
F93	"See findings register; latest review remediation a64c078 (fix(multiplayer): await authoritative command revision)"
F94	"See findings register; latest review remediation 56ccf0e (test: isolate in-memory networking fixtures)"
F95	"See findings register; latest review remediation 1af82f5 (test(whodunit): prove host secrets before redaction)"
F96	"See findings register; latest review remediation ede37ee (test(whodunit): verify RTL formatting resources)"
F97	"See findings register; latest review remediation 526338e (fix(ios): make Compose host explicitly edge-to-edge)"
F98	"See findings register; latest review remediation 44e30c6 (fix(release): gate Apple credentials on identity approval)"
F99	"See findings register; latest review remediation 27bebac (fix(ios): normalize embedded framework casing)"
F100	"See findings register; latest review remediation 09893da (fix(release): validate canonical identity syntax)"
F101	"See findings register; latest review remediation 84c17da (fix(release): block unverified Store identities)"
F102	"See findings register; latest review remediation 84e1e9c (fix(release): deny known Store identity collision)"
F103	"WT-RELEASE-01 CLOSED: bind the iOS signing contract test to the application target"
F104	"See findings register; latest review remediation f2537ea (test(review): scope history requirement to gate job)"
F105	"See findings register; latest review remediation 6eb8190 (fix(content): describe range pairs as lists (#107))"
F106	"See findings register; latest review remediation 135a53c (test(a11y): verify reconnect focus traversal)"
F107	"See findings register; latest review remediation 79b1cec (fix(localization): preserve app state on language changes)"
F108	"See findings register; latest review remediation f201781 (fix(ui): keep toasts above bottom safe areas)"
F109	"See findings register; latest review remediation bd7bca1 (fix(ui): add visual spacing outside safe areas)"
F110	"See findings register; latest review remediation d6f58cc (refactor(engine): remove unused session contracts (#242))"
F111	"See findings register; latest review remediation d44529c (docs(engine): clarify projection redaction boundary)"
F112	"See findings register; latest review remediation 8ca512f (fix(testing): make room bus overflow observable (#95))"
F113	"See findings register; latest review remediation 76132c0 (test(session): exercise real multi-device topology)"
F114	"See findings register; latest review remediation 1857eb6 (fix(testing): reject unknown direct-send peers (#96))"
F115	"See findings register; latest review remediation 2ac26e5 (fix(protocol): enforce directional sequence domains)"
F116	"See findings register; latest review remediation 5965baa (fix(networking): reject non-ASCII room code expansion)"
F117	"See findings register; latest review remediation fa383a6 (test(networking): add room wire golden vectors)"
F118	"See findings register; latest review remediation c07049d (fix(security): support empty native hash input)"
F119	"See findings register; latest review remediation 878ace2 (fix: make session expiry cleanup deterministic)"
F120	"See findings register; latest review remediation 64b9d1d (fix(lifecycle): linearize peer resume ownership)"
F121	"See findings register; latest review remediation 17bd615 (fix: harden peer command lifecycle boundaries)"
F122	"See findings register; latest review remediation bc77a46 (fix(session): preserve pass-and-play event commit order)"
F123	"See findings register; latest review remediation 30a7bc8 (test(session): verify recipient-specific snapshots)"
F124	"See findings register; latest review remediation 2b35a97 (fix(p2p): retire sessions deterministically on background)"
F125	"See findings register; latest review remediation 365e7a0 (fix(p2p): serialize room registration with app lifecycle)"
F126	"See findings register; latest review remediation b579819 (fix(p2p): validate resumable identity inputs)"
F127	"See findings register; latest review remediation a4051a2 (fix: bound p2p discovery and terminal session resources)"
F128	"RR-TEST-01 CLOSED: admission-rate-limit gate flake; fix 5a1b1de"
